,BLND.csv,MNDI.csv,MKS.csv,NMC.csv,SLA.csv,RRS.csv,CCH.csv,SVT.csv,III.csv,BARC.csv,SBRY.csv,TSCO.csv,SGE.csv,IAG.csv,OML.csv,RR..csv,GKN.csv,RDSA.csv,BP..csv,DCC.csv,INF.csv,GSK.csv,MDC.csv,ITV.csv,LAND.csv,RB..csv,EZJ.csv,CNA.csv,AAL.csv,UU..csv
647,595.0,2024.0,343.5,2653.0,416.5,7300.0,2503.0,2169.0,907.5,190.4,234.3,183.4,704.0,586.0,193.1,886.0,343.5,2165.5,463.5,7065.0,664.5,1468.0,671.5,166.9,1025.1,6704.0,1198.0,187.3,1331.5,863.0
648,599.0,2036.0,345.1,2673.0,427.8,7420.0,2537.0,2184.0,917.0,191.55,233.3,183.85,711.5,588.0,195.2,892.0,347.6,2190.0,466.6,7095.0,666.0,1474.0,680.5,166.3,1026.7,6807.0,1191.0,188.1,1333.0,860.5
649,601.0,2030.0,347.3,2645.0,424.2,7490.0,2528.0,2196.0,924.0,189.7,235.0,182.95,703.5,587.0,192.8,883.5,347.2,2209.5,472.4,7125.0,670.5,1480.0,645.5,168.7,1041.1,6827.0,1180.0,189.3,1288.5,861.0
650,604.5,2011.0,347.4,2718.0,420.5,7475.0,2502.0,2184.0,915.5,188.3,237.9,184.7,693.0,584.0,191.6,873.5,341.9,2228.0,471.55,7080.0,664.0,1482.0,648.5,169.0,1041.6,6790.0,1199.0,189.6,1286.0,854.0
651,601.5,2004.0,351.0,2693.0,425.1,7300.0,2484.0,2158.0,909.5,190.25,238.4,187.2,690.0,599.0,192.0,861.5,339.6,2225.0,473.05,7060.0,663.0,1486.0,642.5,170.1,1034.1,6805.0,1223.0,187.4,1302.0,840.5
652,598.0,1994.0,352.5,2719.0,428.7,7350.0,2494.0,2161.0,916.5,192.2,236.7,185.05,695.0,594.5,191.0,884.0,342.8,2242.0,476.05,7175.0,659.5,1482.0,641.0,168.7,968.0,6753.0,1201.0,187.0,1305.0,845.0
653,602.0,2005.0,353.4,2751.0,433.5,7315.0,2525.0,2173.0,913.0,193.35,237.9,187.15,698.5,593.5,194.2,887.0,346.0,2248.5,477.3,7245.0,672.0,1488.5,650.0,174.7,972.5,6813.0,1217.0,187.0,1339.5,854.5
654,604.5,2064.0,352.4,2752.0,437.9,7320.0,2557.0,2194.0,918.0,192.7,239.7,186.65,710.0,607.5,193.1,903.0,348.4,2262.5,480.0,7280.0,676.0,1520.5,643.0,173.3,979.5,6821.0,1280.0,193.0,1363.5,858.0
655,607.5,2076.0,353.8,2742.0,433.9,7365.0,2521.0,2179.0,932.0,193.65,247.5,190.05,723.0,622.5,193.2,921.0,349.2,2297.0,486.4,7255.0,682.0,1520.0,646.5,174.7,985.0,6820.0,1297.0,190.9,1397.0,858.0
656,607.0,2119.0,351.3,2740.0,424.7,7425.0,2558.0,2166.0,931.0,192.35,241.6,183.95,720.5,615.5,192.5,925.0,354.0,2283.5,485.75,7295.0,678.5,1511.0,653.5,176.7,984.5,6782.0,1277.0,179.3,1430.0,856.5
657,602.0,2130.0,354.1,2722.0,425.3,7435.0,2539.0,2174.0,929.5,190.15,243.0,186.6,728.0,617.5,193.4,921.0,354.5,2309.0,490.4,7315.0,678.0,1523.5,664.0,178.7,977.0,6807.0,1284.0,177.5,1473.5,863.0
658,600.5,2114.0,348.7,2838.0,428.5,7430.0,2550.0,2158.0,936.0,190.2,242.0,188.4,730.0,614.5,196.2,919.5,356.3,2297.5,488.15,7320.0,682.5,1528.5,686.0,177.7,980.0,6836.0,1263.0,174.5,1481.0,862.5
659,597.5,2096.0,348.5,2835.0,428.9,7500.0,2566.0,2165.0,936.0,188.35,238.4,186.35,731.5,609.5,194.9,919.5,356.0,2296.5,486.3,7335.0,682.0,1523.0,680.0,177.9,982.0,6938.0,1236.0,172.8,1431.0,859.0
660,601.0,2089.0,351.0,2834.0,431.3,7535.0,2577.0,2164.0,945.0,190.0,239.4,187.35,719.5,608.0,194.8,912.0,353.0,2295.5,489.95,7275.0,684.5,1515.5,680.0,176.3,990.5,7090.0,1253.0,176.1,1439.5,863.0
661,605.0,1926.0,349.9,2928.0,432.6,7430.0,2611.0,2150.0,945.0,190.4,239.5,187.2,720.5,623.5,196.3,911.0,351.8,2305.0,488.65,7305.0,688.0,1517.0,683.5,173.7,993.0,7038.0,1289.0,175.6,1442.0,860.0
662,609.5,1945.0,350.0,2952.0,437.4,7515.0,2606.0,2138.0,963.5,193.05,240.0,185.6,730.0,626.5,199.6,920.5,352.8,2300.5,491.45,7365.0,692.0,1527.5,680.0,174.6,993.0,7166.0,1321.0,179.0,1443.5,855.0
663,608.5,1912.0,350.8,2915.0,437.2,7535.0,2600.0,2104.0,967.0,191.25,241.7,186.0,726.0,621.5,200.9,913.0,318.0,2285.5,490.8,7335.0,687.5,1516.0,679.0,172.6,986.5,7187.0,1310.0,174.6,1469.5,845.5
664,608.0,1901.0,346.7,2896.0,446.3,7480.0,2609.0,2082.0,968.0,189.25,243.6,186.15,727.0,619.0,200.9,907.0,307.1,2290.5,491.5,7225.0,683.0,1519.0,675.0,174.1,976.5,7020.0,1288.0,173.0,1477.0,831.0
665,607.5,1883.0,347.8,2843.0,429.0,7320.0,2593.0,2122.0,940.0,191.35,247.7,186.05,722.0,635.5,198.2,907.5,306.0,2289.0,490.6,7175.0,688.0,1516.0,645.5,173.5,986.5,7035.0,1316.0,171.2,1459.5,842.0
666,616.5,1905.0,350.4,2850.0,433.3,7360.0,2647.0,2130.0,937.5,192.65,246.3,187.15,725.0,652.5,198.7,930.0,306.7,2300.0,488.0,7285.0,699.0,1533.5,639.5,178.7,1000.0,6857.0,1317.0,172.7,1428.0,845.0
667,610.5,1900.0,346.7,2830.0,433.6,7490.0,2593.0,2143.0,935.0,192.0,246.4,187.35,728.5,651.0,196.7,927.0,302.1,2311.5,492.15,7185.0,690.5,1536.0,644.0,176.4,988.0,6790.0,1295.0,172.0,1431.0,843.5
668,610.5,1890.0,346.9,2908.0,434.8,7395.0,2570.0,2139.0,945.0,195.7,247.7,188.9,730.0,657.5,197.2,926.0,303.4,2313.5,491.9,7165.0,690.0,1523.5,640.5,174.9,975.0,6610.0,1313.0,173.1,1432.0,842.0
